rack,row,col,cage_id,strain,count,gender,usage,user,dob,note
C,7,6,Req#19438,B6.129P2(Cg)-Cx3cr1tm1Litt/J,4,Female,Maintain,Koichi,,
C,6,5,Req#56294,B6.129P2(Cg)-Cx3cr1tm1Litt/J,1,Male,Maintain,Koichi,,
C,7,5,194178,B6.129P2(Cg)-Cx3cr1tm1Litt/J,2,Male,Breeding,Koichi,,
A,2,3,192419,Beta-2-Flox,2,Male,Breeding,Koichi,,
A,2,4,185660,P2Y12-flox:tdTomato-flox:CX3CR1-CreER,2,Male,Breeding,Koichi,,
A,3,4,197970,Beta-2-Flox:CX3CR1-CreER:tdTomato-Flox,1,Female,Maintain,Koichi,,
A,3,3,191683,C57BL/6,4,Male,Maintain,Koichi,,"From Jax
DOB: 6/27"
A,7,3,194579,P2Y12 KO,2,Male,New born,Koichi,09-18-2024,Parent DOB: 3/22
A,4,3,183377,P2Y12-Flox,2,Male,Maintain,Koichi,,
A,4,4,183378,P2Y12-Flox,2,Female,Maintain,Koichi,,
A,5,3,183381,P2Y12-Flox:CX3CR1-CreER,1,Male,Maintain,Koichi,,
A,5,4,183384,P2Y12-Flox:CX3CR1-CreER,2,Female,Maintain,Koichi,,
A,6,3,183409,P2Y12-Flox,1,Male,Maintain,Koichi,,P2Y12-Flox::tdTomato-Flox
A,6,4,197205,Beta-2-Flox:CX3CR1-CreER:tdTomato-Flox,3,Male,Maintain,Koichi,,
A,8,3,191682,C57BL/6,2,Male,Maintain,Koichi,,
C,2,4,192157,P2Y12 KO,2,Male,Maintain,Koichi,,
C,3,4,192156,P2Y12 KO,2,Female,Maintain,Koichi,,
C,3,3,194191,C57BL/6,2,Male,Breeding,Koichi,,
C,5,3,183374,Beta-2-Flox,1,Female,Maintain,Koichi,,
C,5,4,192145,Beta-2-Flox:CX3CR1-CreER:tdTomato-Flox,2,Male,Maintain,Koichi,,
C,6,4,183373,Beta-2-Flox,3,Male,Maintain,Koichi,,
C,7,4,194188,P2Y12-Flox:CX3CR1-CreER,2,Male,Breeding,Koichi,,
C,8,4,192416,P2Y12 KO:CX3CR1-GFP,2,Male,Breeding,Koichi,,
C,8,5,192411,P2Y12-Flox:CX3CR1-CreER,2,Male,Breeding,Koichi,,
C,5,5,192144,Beta-2-Flox:CX3CR1-CreER,2,Female,Maintain,Koichi,,
C,4,5,192142,Beta-2-Flox:CX3CR1-CreER,2,Male,Maintain,Koichi,,
B,3,0,Req#20377,Beta-2-Flox:CX3CR1-CreER:tdTomato-Flox,1,Male,Maintain,Koichi,,
B,3,1,Req#20379,Beta-2-Flox:CX3CR1-CreER:tdTomato-Flox,1,Female,Maintain,Koichi,,
B,4,0,Req#49768,Beta-2-Flox:CX3CR1-CreER:tdTomato-Flox,3,Female,Maintain,Koichi,,
B,4,1,Req#20368,Beta-2-Flox:CX3CR1-CreER:tdTomato-Flox,3,Male,Maintain,Koichi,,
11111,11111,1111,Male,Maintain
0,0,1234,1234,10,Male,Maintain
